School Year,Category,Department,Internal Role,Req ID,Opening Type,Status,Job Title,Req Openings,Req Remaining Openings,Location,Region,Job Type,JOB_MOST_RECENT_OPEN_DATE,JOB_FILLED_ON,Position Control Number
2023-2024,Instructional,Teaching - Other,Teacher: Fine Arts,2022-5869,Mid-Year Vacancy,Filled,AP Art Teacher- IDEA Bluff Spring College Prep (Immediate Opening),1,0,IDEA Bluff Springs College Prep,"Greater Austin, TX",Full-Time,7/14/2023,8/3/2023,94073
2023-2024,Instructional,Para-Professional - General Education,Co-Teacher (Academy): AR/Hot Spot CT,2022-5875,Mid-Year Vacancy,Filled,Blended Learning Space Facilitator - IDEA University Prep Academy (Immediate Opening),1,0,IDEA University Prep Academy,Southern Louisiana,Full-Time,7/10/2023,7/28/2023,1990
2023-2024,Instructional,Teaching - Social Studies,Teacher: 6-8 Social Studies,2022-5883,Annual Vacancy,Filled,6th/7th grade Social Studies Pre-AP Teacher - IDEA Innovation College Prep (Immediate Opening),1,0,IDEA Innovation College Prep,Southern Louisiana,Full-Time,7/10/2023,7/13/2023,1792
2023-2024,Instructional,Teaching - English Language Arts,Teacher: 1-5 ELA,2022-5886,Annual Vacancy,Filled,1st grade ELA Teacher - IDEA Price Hill (Immediate Opening),1,0,IDEA Price Hill Academy,"Cincinnati, OH",Full-Time,7/11/2023,7/1/2023,2592
2023-2024,Instructional,Teaching - Other,Teacher: Fine Arts,2022-5893,Annual Vacancy,Filled,Art Teacher - IDEA Ingram Hills College Prep (Immediate Opening),1,0,IDEA Ingram Hills College Prep,"San Antonio, TX",Full-Time,7/11/2023,7/28/2023,98666
2023-2024,Instructional,Teaching - Social Studies,Teacher: 6-8 Social Studies,2022-5895,Annual Vacancy,Filled,6th/7th grade Social Studies Pre-AP Teacher - IDEA Carver  College Prep (Immediate Opening),1,0,IDEA Carver College Prep,"San Antonio, TX",Full-Time,7/12/2023,7/20/2023,88444
2023-2024,Instructional,Teaching - Social Studies,Teacher: 1-5 Social Studies/Science,2022-5896,Annual Vacancy,Filled,1st Grade Math/Science/Social Studies Teacher - IDEA Price Hill Academy (Immediate Opening),1,0,IDEA Price Hill Academy,"Cincinnati, OH",Full-Time,7/21/2023,8/2/2023,2586
2023-2024,Instructional,School Lead Team,School Counselor (Academy),2022-5899,Mid-Year Vacancy,Filled,School Counselor - IDEA Hardy Academy (Immediate Opening),1,0,IDEA Hardy Academy,"Greater Houston, TX",Full-Time,7/10/2023,8/8/2023,95235
2023-2024,Instructional,Teaching - Math,Teacher: 1-5 Math,2022-5900,Annual Vacancy,Filled,2nd grade Math Teacher - IDEA Walzem Academy (Immediate Opening),1,0,IDEA Walzem Academy,"San Antonio, TX",Full-Time,7/11/2023,7/25/2023,89746
2023-2024,Instructional,Teaching - Special Education,Teacher (Academy): SpEd RISE,2022-5903,Annual Vacancy,Filled,Special Education RISE Teacher - IDEA Walzem Academy (Immediate Opening),1,0,IDEA Walzem Academy,"San Antonio, TX",Full-Time,7/11/2023,7/30/2023,89520
